Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
16-01-2009,Spread,"In Los Angeles, Nikki is homeless, car-less and closing in on 30, but he's amoral, good-looking, and adept in the sack, moving from one wealthy woman of 35 or 40 to another, a kept boy-toy. His newest gig, with Samantha, an attorney whose house overlooks L.A., is sweet, although it's unclear how long she'll put up with him. Then Nikki meets Heather, a waitress. Is the player being played, or might this be love? What will Nikki discover?",27.204,693,5.4,en,"Comedy, Romance",https://image.tmdb.org/t/p/original/hCA9jeOrVWYyK4bCO55hvDmT2Z3.jpg
12-09-2019,Hustlers,A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.,27.202,2466,6.5,en,"Drama, Comedy, Crime",https://image.tmdb.org/t/p/original/zBhv8rsLOfpFW2M5b6wW78Uoojs.jpg
17-06-1977,Exorcist II: The Heretic,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?",27.197,488,4.6,en,"Horror, Thriller, Fantasy, Drama",https://image.tmdb.org/t/p/original/g9i3LTMYLRHvCYSKimZEfd1Vqy7.jpg
30-04-2015,Possessed,"Trini is the most famous flamingo dancer in the world and she has an envious life. Everyone loves her dancing, but when a seemingly innocuous domestic accident takes her husband's life, a deep depression falls over Trini forcing her to quit the stage. Damien's behaviour, her 8-year-old son, becomes uncontrollably forcing Trini to call upon doctor after doctor to provide relief. When no answers can be found, there is left only one possible explanation - Damien has been possessed by a dark spirit! Trini begins a desperate quest to repair her shattered family. This search eventually leads to a defrocked priest called Father Lenin whose own severe spiritual crisis may not bode well for what lays ahead. With no where to turn and all other hopes to save her shattered family exhausted, Trini must place her faith in a man whose faith is... questionable!",27.186,17,6.1,es,"Animation, Comedy, Horror",https://image.tmdb.org/t/p/original/dgJfPjbFx9a40e2ugI0ZyxeHZp8.jpg
04-05-2019,47 Hours to Live,"Two socially awkward teenage girls, are bored one night and turn to the internet for scary stories. They find a game on a creepy website that claims you can use your phone to summon the supernatural...and if you lose the game...you lose your life.",27.174,43,6.2,en,"Thriller, Horror",https://image.tmdb.org/t/p/original/x2iAQLgwvdD3l7jQitPnLly7TC2.jpg
02-11-2021,Single Mother by Choice,"Tracking a real-life pregnancy, this fictional film tells the story of a Latinx workaholic who’s determined to have a baby on her own terms and gets more than she bargained for when she gets pregnant in the year 2020.",27.165,25,7.5,en,"Comedy, Drama",https://image.tmdb.org/t/p/original/1Nb3HcYjV3aEDWFrL0jsNmkFeJ0.jpg
18-06-2004,DodgeBall: A True Underdog Story,"When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all.",27.165,2762,6.3,en,Comedy,https://image.tmdb.org/t/p/original/r8KbNHkkwFXLjV1suGwm0Qjure5.jpg
28-08-2009,Halloween II,"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois. Meanwhile, Michael prepares for another reunion with his sister.",27.162,1044,5.4,en,Horror,https://image.tmdb.org/t/p/original/vSHPM4LQDpWdQrD5KZWK6wNqSOD.jpg
20-11-2021,A Christmas Together With You,"During the Christmas season, Megan and her father-figure Frank head out on a road trip to find his long-lost love. Along the way, Megan finds the love of her own life.",27.158,10,5.8,en,"TV Movie, Romance, Drama",https://image.tmdb.org/t/p/original/bDlKgyTZtd5T7sZidwndSxUAjgY.jpg
12-04-2011,The Prey,"A robber escapes from prison with a single objective in mind: to track down his former cellmate, a serial killer who intends to pin his crimes on him. A cop is sent after the robber who, despite his best efforts, soon becomes Public Enemy Number One. As the protagonists are driven to their limits, it becomes increasingly unclear who is the hunter and who is the prey.",27.156,142,6.4,fr,"Action, Crime, Thriller",https://image.tmdb.org/t/p/original/vv30WTTkdstFcOW82EigWQNBHik.jpg
05-08-1994,The Little Rascals,"When nine-year-old Alfalfa falls for Darla, his ""He-Man-Woman-Hating"" friends attempt to sabotage their relationship.",27.156,939,6.7,en,"Romance, Comedy, Family",https://image.tmdb.org/t/p/original/bYpc0diOR3nk9yZeDXEHmsjuKjI.jpg
15-05-2019,The Dead Don't Die,"In a small peaceful town, zombies suddenly rise to terrorize the town. Now three bespectacled police officers and a strange Scottish morgue expert must band together to defeat the undead.",27.153,1830,5.5,en,"Comedy, Horror, Fantasy",https://image.tmdb.org/t/p/original/fgGzTEoNxptCRtEOpOPvIEdlxAq.jpg
06-03-2018,The Second Coming of Christ,"The journey of a woman scientist who, at the end of times, discovers that true Faith can bring Miracles.",27.151,4,3.6,en,"Action, Drama",https://image.tmdb.org/t/p/original/qTphDaFRoL2acXFPG2NUPzOl7Kb.jpg
18-06-2021,A Choice of Weapons: Inspired by Gordon Parks,"This documentary chronicles renaissance man Gordon Parks’ stellar career from staff photographer for LIFE magazine, through his artistic development photographing everyday Americans, through his evolution as a novelist and groundbreaking filmmaker.",27.149,10,6.6,en,Documentary,https://image.tmdb.org/t/p/original/p50NI5jH3DHIhxGvOT8MUhufUMM.jpg
